PIPELINE ROLLING PROFITABILITY REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period:,May-26 to Dec-27 (20 months),,Currency:,SAR,,Last Updated:,05-May-2026,,Source:,"Hala YTD WH Pipeline (Hano Oberholzer, 05-May-2026)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. PIPELINE OPPORTUNITIES (Revenue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Customer / Opportunity,Opportunity Owner,Stage,Probability,Warehouse Location,Ops Go-Live Date,Annual Contract Value,Expected Revenue (Current Yr),Volume - Pallets,Volume - SQM,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,2026 Total,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,2027 Total,Grand Total,Weighted Total,Notes
21,Diwan Al Qahwa Trading Company,Yazan Darwish,Proposal Sent,60.0%,Jeddah Modon 3A,01-Jul-26," 396,000 "," 198,000 ",500,-, - , - ," 33,000 "," 33,000 "," 33,000 "," 33,000 "," 33,000 "," 33,000 "," 198,000 "," 33,000 "," 33,000 "," 33,000 "," 33,000 "," 33,000 "," 33,000 "," 33,000 "," 33,000 "," 33,000 "," 33,000 "," 33,000 "," 33,000 "," 396,000 "," 594,000 "," 356,400 ",Opp: Diwan/WH/JED3A/500PP | Region: West
22,Tejoury,Hano Oberholzer,Proposal Sent,60.0%,Jeddah Modon 3A,01-Jul-26," 4,400,000 "," 2,200,000 ",-,"4,495", - , - ," 366,667 "," 366,667 "," 366,667 "," 366,667 "," 366,667 "," 366,667 "," 2,200,000 "," 366,667 "," 366,667 "," 366,667 "," 366,667 "," 366,667 "," 366,667 "," 366,667 "," 366,667 "," 366,667 "," 366,667 "," 366,667 "," 366,667 "," 4,400,000 "," 6,600,000 "," 3,960,000 ","? Source Exp CY (660,000) ? ACV/12 implied (2,200,000) | Opp: Tejoury/WH/JED3A/4495 SQM | Region: West"
23,United Carton,Simon Reah,Proposal Sent,60.0%,Jeddah Modon 3B,01-Jul-26," 504,000 "," 252,000 ","1,400",-, - , - ," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 252,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 504,000 "," 756,000 "," 453,600 ",Opp: United Carton/WH/JED3B/1400PP | Region: West
24,El Ajou Group,Yazan Darwish,Proposal Sent,60.0%,Jeddah Modon 3B,01-Jul-26," 507,000 "," 253,500 ",900,-, - , - ," 42,250 "," 42,250 "," 42,250 "," 42,250 "," 42,250 "," 42,250 "," 253,500 "," 42,250 "," 42,250 "," 42,250 "," 42,250 "," 42,250 "," 42,250 "," 42,250 "," 42,250 "," 42,250 "," 42,250 "," 42,250 "," 42,250 "," 507,000 "," 760,500 "," 456,300 ",Opp: El Ajou Group/WH/JED3B/900PP | Region: West
25,Astra Polymers,Yazan Darwish,Proposal Sent,60.0%,Jeddah Modon 3B,01-Jul-26," 127,000 "," 63,500 ",250,-, - , - ," 10,583 "," 10,583 "," 10,583 "," 10,583 "," 10,583 "," 10,583 "," 63,500 "," 10,583 "," 10,583 "," 10,583 "," 10,583 "," 10,583 "," 10,583 "," 10,583 "," 10,583 "," 10,583 "," 10,583 "," 10,583 "," 10,583 "," 127,000 "," 190,500 "," 114,300 ",Opp: Astra/WH/JED/250PP | Region: West
26,Shuran Plastic,Simon Reah,Proposal Sent,60.0%,Jeddah Modon 3B,01-Jun-26," 846,000 "," 493,500 ",-,"1,500", - ," 70,500 "," 70,500 "," 70,500 "," 70,500 "," 70,500 "," 70,500 "," 70,500 "," 493,500 "," 70,500 "," 70,500 "," 70,500 "," 70,500 "," 70,500 "," 70,500 "," 70,500 "," 70,500 "," 70,500 "," 70,500 "," 70,500 "," 70,500 "," 846,000 "," 1,339,500 "," 803,700 ",Opp: Shuran Plastic/WH/JED3B/1500SQM | Region: West
27,Solenis,Amin AlHalabi,Proposal Sent,60.0%,RUH Tayba,01-Sep-26," 1,740,000 "," 580,000 ","3,000",-, - , - , - , - ," 145,000 "," 145,000 "," 145,000 "," 145,000 "," 580,000 "," 145,000 "," 145,000 "," 145,000 "," 145,000 "," 145,000 "," 145,000 "," 145,000 "," 145,000 "," 145,000 "," 145,000 "," 145,000 "," 145,000 "," 1,740,000 "," 2,320,000 "," 1,392,000 ",Opp: Solenis/WH/RUH/3000PP | Region: Central
28,Kuehne & Nagel,Simon Reah,Proposal Sent,60.0%,RUH Tayba,01-Nov-26," 6,102,000 "," 1,017,000 ","2,500",-, - , - , - , - , - , - ," 508,500 "," 508,500 "," 1,017,000 "," 508,500 "," 508,500 "," 508,500 "," 508,500 "," 508,500 "," 508,500 "," 508,500 "," 508,500 "," 508,500 "," 508,500 "," 508,500 "," 508,500 "," 6,102,000 "," 7,119,000 "," 4,271,400 ","? Source Exp CY (339,000) ? ACV/12 implied (1,017,000) | Opp: KN-Hample/WH/RUH/2,500PP | Region: Central"
29,United Carton,Simon Reah,Proposal Sent,60.0%,RUH Tayba,01-Jul-26," 504,000 "," 252,000 ","1,200",-, - , - ," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 252,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 42,000 "," 504,000 "," 756,000 "," 453,600 ",Opp: United Carton/WH/RUH/1200PP | Region: Central
30,Kuehne & Nagel,Simon Reah,Proposal Sent,60.0%,RUH Tayba,01-Jul-26," 2,025,000 "," 1,012,500 ",-,"5,000", - , - ," 168,750 "," 168,750 "," 168,750 "," 168,750 "," 168,750 "," 168,750 "," 1,012,500 "," 168,750 "," 168,750 "," 168,750 "," 168,750 "," 168,750 "," 168,750 "," 168,750 "," 168,750 "," 168,750 "," 168,750 "," 168,750 "," 168,750 "," 2,025,000 "," 3,037,500 "," 1,822,500 ",Opp: KN/WH/RUH/ 5000SQM | Region: Central
31,Kuehne & Nagel,Simon Reah,Proposal Sent,60.0%,RUH Tayba,15-May-26," 98,046 "," 65,364 ",-,150," 8,171 "," 8,171 "," 8,171 "," 8,171 "," 8,171 "," 8,171 "," 8,171 "," 8,171 "," 65,364 "," 8,171 "," 8,171 "," 8,171 "," 8,171 "," 8,171 "," 8,171 "," 8,171 "," 8,171 "," 8,171 "," 8,171 "," 8,171 "," 8,171 "," 98,046 "," 163,410 "," 98,046 ",Opp: KN/WH/RUH/150SQM | Region: Central
32,Baxter,Yazan Darwish,Proposal Sent,60.0%,Subcontractor,01-Jun-26," 1,000,000 "," 583,333 ","2,500",-, - ," 83,333 "," 83,333 "," 83,333 "," 83,333 "," 83,333 "," 83,333 "," 83,333 "," 583,333 "," 83,333 "," 83,333 "," 83,333 "," 83,333 "," 83,333 "," 83,333 "," 83,333 "," 83,333 "," 83,333 "," 83,333 "," 83,333 "," 83,333 "," 1,000,000 "," 1,583,333 "," 950,000 ","? Source Exp CY (1,155,000) ? ACV/12 implied (583,333) | Opp: Baxter/WH/RUH/2500PP | Region: Central"
33,Al Nahdi,Simon Reah,Proposal Sent,60.0%,Subcontractor,01-May-26," 800,000 "," 533,333 ","2,000",-," 66,667 "," 66,667 "," 66,667 "," 66,667 "," 66,667 "," 66,667 "," 66,667 "," 66,667 "," 533,333 "," 66,667 "," 66,667 "," 66,667 "," 66,667 "," 66,667 "," 66,667 "," 66,667 "," 66,667 "," 66,667 "," 66,667 "," 66,667 "," 66,667 "," 800,000 "," 1,333,333 "," 800,000 ","? Source Exp CY (800,000) ? ACV/12 implied (533,333) | Opp: AL Nahdi/WH/RUH/2000PP | Region: Central"
34,HMH,Yazan Darwish,Qualified,40.0%,Contract Logistics,01-Jun-26," 850,000 "," 495,833 ",-,-, - ," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 495,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 850,000 "," 1,345,833 "," 538,333 ","? Source Exp CY (661,111) ? ACV/12 implied (495,833) | Opp: HMH/CL/DMM/Expansion | Region: East"
35,Saudi National Bank,Hano Oberholzer,Proposal Sent,60.0%,Contract Logistics,15-May-26," 1,975,386 "," 1,316,924 ",-,-," 164,616 "," 164,616 "," 164,616 "," 164,616 "," 164,616 "," 164,616 "," 164,616 "," 164,616 "," 1,316,924 "," 164,616 "," 164,616 "," 164,616 "," 164,616 "," 164,616 "," 164,616 "," 164,616 "," 164,616 "," 164,616 "," 164,616 "," 164,616 "," 164,616 "," 1,975,386 "," 3,292,310 "," 1,975,386 ","? Source Exp CY (2,257,584) ? ACV/12 implied (1,316,924) | Opp: SNB / Asset Verification | Region: West"
36,SAUDI CARBONATE COMPANY,Yazan  Darwish,Closed Won,100.0%,Dammam Port,01-May-26, - , - ,300,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,Closed Won — auto-pulled from Closed-won data Input row 3
37,MEBCo (Clarios),Yazan  Darwish,Closed Won,100.0%,Dammam 2nd Ind -Tad WH,01-Mar-26," 648,000 "," 432,000 ",900,-," 54,000 "," 54,000 "," 54,000 "," 54,000 "," 54,000 "," 54,000 "," 54,000 "," 54,000 "," 432,000 "," 54,000 "," 54,000 "," 54,000 "," 54,000 "," 54,000 "," 54,000 "," 54,000 "," 54,000 "," 54,000 "," 54,000 "," 54,000 "," 54,000 "," 648,000 "," 1,080,000 "," 1,080,000 ",Closed Won — auto-pulled from Closed-won data Input row 4
38,Rawabi Electric,Yazan  Darwish,Closed Won,100.0%,Dammam 2nd Ind -Tad WH,27-Jan-26," 105,600 "," 70,400 ",440,-," 8,800 "," 8,800 "," 8,800 "," 8,800 "," 8,800 "," 8,800 "," 8,800 "," 8,800 "," 70,400 "," 8,800 "," 8,800 "," 8,800 "," 8,800 "," 8,800 "," 8,800 "," 8,800 "," 8,800 "," 8,800 "," 8,800 "," 8,800 "," 8,800 "," 105,600 "," 176,000 "," 176,000 ",Closed Won — auto-pulled from Closed-won data Input row 5
39,Dorfketal,Yazan  Darwish,Closed Won,100.0%,Dammam 2nd Ind -Tad WH,01-May-26," 78,000 "," 52,000 ",200,-," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 52,000 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 78,000 "," 130,000 "," 130,000 ",Closed Won — auto-pulled from Closed-won data Input row 6
40,Rising Future,Yazan  Darwish,Closed Won,100.0%,Dammam 2nd Ind -Tad WH,01-Mar-26," 30,000 "," 20,000 ",50,-," 2,500 "," 2,500 "," 2,500 "," 2,500 "," 2,500 "," 2,500 "," 2,500 "," 2,500 "," 20,000 "," 2,500 "," 2,500 "," 2,500 "," 2,500 "," 2,500 "," 2,500 "," 2,500 "," 2,500 "," 2,500 "," 2,500 "," 2,500 "," 2,500 "," 30,000 "," 50,000 "," 50,000 ",Closed Won — auto-pulled from Closed-won data Input row 7
41,Maaden,Yazan  Darwish,Closed Won,100.0%,Jubail 1,01-Feb-26," 960,000 "," 640,000 ","1,200",-," 80,000 "," 80,000 "," 80,000 "," 80,000 "," 80,000 "," 80,000 "," 80,000 "," 80,000 "," 640,000 "," 80,000 "," 80,000 "," 80,000 "," 80,000 "," 80,000 "," 80,000 "," 80,000 "," 80,000 "," 80,000 "," 80,000 "," 80,000 "," 80,000 "," 960,000 "," 1,600,000 "," 1,600,000 ",Closed Won — auto-pulled from Closed-won data Input row 8
42,Al Nahdi,Simon Reah,Closed Won,100.0%,Jeddah Modon 3B,01-Apr-26," 756,000 "," 504,000 ","4,000",-," 63,000 "," 63,000 "," 63,000 "," 63,000 "," 63,000 "," 63,000 "," 63,000 "," 63,000 "," 504,000 "," 63,000 "," 63,000 "," 63,000 "," 63,000 "," 63,000 "," 63,000 "," 63,000 "," 63,000 "," 63,000 "," 63,000 "," 63,000 "," 63,000 "," 756,000 "," 1,260,000 "," 1,260,000 ",Closed Won — auto-pulled from Closed-won data Input row 9
43,Sharbatly Fruit Company,Simon Reah,Closed Won,100.0%,Jeddah Modon 3B,15-Apr-26," 684,000 "," 456,000 ","1,500",-," 57,000 "," 57,000 "," 57,000 "," 57,000 "," 57,000 "," 57,000 "," 57,000 "," 57,000 "," 456,000 "," 57,000 "," 57,000 "," 57,000 "," 57,000 "," 57,000 "," 57,000 "," 57,000 "," 57,000 "," 57,000 "," 57,000 "," 57,000 "," 57,000 "," 684,000 "," 1,140,000 "," 1,140,000 ",Closed Won — auto-pulled from Closed-won data Input row 10
44,PSA-BDP,Amin AlHalabi,Closed Won,100.0%,Subcontractor,14-Feb-26," 1,800,000 "," 1,200,000 ","2,500",-," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 1,200,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 1,800,000 "," 3,000,000 "," 3,000,000 ",Closed Won — auto-pulled from Closed-won data Input row 11
45,Tasnee,Yazan  Darwish,Closed Won,100.0%,Contract Logistics,01-May-26," 725,000 "," 483,333 ",-,-," 60,417 "," 60,417 "," 60,417 "," 60,417 "," 60,417 "," 60,417 "," 60,417 "," 60,417 "," 483,333 "," 60,417 "," 60,417 "," 60,417 "," 60,417 "," 60,417 "," 60,417 "," 60,417 "," 60,417 "," 60,417 "," 60,417 "," 60,417 "," 60,417 "," 725,000 "," 1,208,333 "," 1,208,333 ",Closed Won — auto-pulled from Closed-won data Input row 12
46,,,,-,,, - , - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
47,,,,-,,, - , - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
48,,,,-,,, - , - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
49,,,,-,,, - , - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
50,,,,-,,, - , - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
51,,,,-,,, - , - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
