PIPELINE ROLLING PROFITABILITY REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period:,May-26 to Dec-27 (20 months),,Currency:,SAR,,Last Updated:,05-May-2026,,Source:,"Hala YTD WH Pipeline (Hano Oberholzer, 05-May-2026)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. PIPELINE OPPORTUNITIES (Revenue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Customer / Opportunity,Opportunity Owner,Stage,Probability,Warehouse Location,Ops Go-Live Date,Annual Contract Value,Expected Revenue (Current Yr),Volume - Pallets,Volume - SQM,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,2026 Total,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,2027 Total,Grand Total,Weighted Total,Notes
3. GROSS PROFIT IMPACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Metric,,,,,,,,,,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,2026 Total,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,2027 Total,Grand Total,,Notes
,GP (Unweighted),,,,,,,,,," 254,167 "," 424,049 "," 669,694 "," 707,819 "," 755,528 "," 755,528 "," 882,653 "," 882,653 "," 5,332,091 "," 882,653 "," 882,653 "," 882,653 "," 882,653 "," 882,653 "," 882,653 "," 882,653 "," 882,653 "," 882,653 "," 882,653 "," 882,653 "," 882,653 "," 10,591,833 "," 15,923,924 ",,
,GP (Probability-Weighted),,,,,,,,,," 215,366 "," 334,858 "," 464,902 "," 487,777 "," 516,402 "," 516,402 "," 592,677 "," 592,677 "," 3,721,059 "," 592,677 "," 592,677 "," 592,677 "," 592,677 "," 592,677 "," 592,677 "," 592,677 "," 592,677 "," 592,677 "," 592,677 "," 592,677 "," 592,677 "," 7,112,120 "," 10,833,178 ",,
,GP % (Weighted),,,,,,,,,,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GP per Stage (Unweighted) — Revenue minus Cost, filtered by Stage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GP — Closed Lost,0%,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
,GP — Prospecting,20%,,,,,,,,, - , - ," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 300,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 600,000 "," 900,000 ",,
,GP — Qualified,40%,,,,,,,,, - ," 17,708 "," 17,708 "," 17,708 "," 17,708 "," 17,708 "," 17,708 "," 17,708 "," 123,958 "," 17,708 "," 17,708 "," 17,708 "," 17,708 "," 17,708 "," 17,708 "," 17,708 "," 17,708 "," 17,708 "," 17,708 "," 17,708 "," 17,708 "," 212,500 "," 336,458 ",,
,GP — Proposal Sent,60%,,,,,,,,," 77,238 "," 138,711 "," 316,649 "," 354,774 "," 402,482 "," 402,482 "," 529,607 "," 529,607 "," 2,751,549 "," 529,607 "," 529,607 "," 529,607 "," 529,607 "," 529,607 "," 529,607 "," 529,607 "," 529,607 "," 529,607 "," 529,607 "," 529,607 "," 529,607 "," 6,355,283 "," 9,106,832 ",,
,GP — Shortlisted,75%,,,,,,,,," 15,125 "," 55,825 "," 73,533 "," 73,533 "," 73,533 "," 73,533 "," 73,533 "," 73,533 "," 512,150 "," 73,533 "," 73,533 "," 73,533 "," 73,533 "," 73,533 "," 73,533 "," 73,533 "," 73,533 "," 73,533 "," 73,533 "," 73,533 "," 73,533 "," 882,400 "," 1,394,550 ",,
,GP — Contract Negotiation,90%,,,,,,,,," 41,250 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 680,000 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 1,095,000 "," 1,775,000 ",,
,GP — Closed Won,100%,,,,,,,,," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 964,433 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 1,446,650 "," 2,411,083 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Revenue per Stage (Unweighted) — Section 1 revenue, filtered by stage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue — Closed Lost,0%,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
,Revenue — Prospecting,20%,,,,,,,,, - , - ," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 1,200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 2,400,000 "," 3,600,000 ",,
,Revenue — Qualified,40%,,,,,,,,, - ," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 495,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 850,000 "," 1,345,833 ",,
,Revenue — Proposal Sent,60%,,,,,,,,," 308,953 "," 554,844 "," 1,266,594 "," 1,419,094 "," 1,609,928 "," 1,609,928 "," 2,118,428 "," 2,118,428 "," 11,006,196 "," 2,118,428 "," 2,118,428 "," 2,118,428 "," 2,118,428 "," 2,118,428 "," 2,118,428 "," 2,118,428 "," 2,118,428 "," 2,118,428 "," 2,118,428 "," 2,118,428 "," 2,118,428 "," 25,421,132 "," 36,427,328 ",,
,Revenue — Shortlisted,75%,,,,,,,,," 60,500 "," 223,300 "," 294,133 "," 294,133 "," 294,133 "," 294,133 "," 294,133 "," 294,133 "," 2,048,600 "," 294,133 "," 294,133 "," 294,133 "," 294,133 "," 294,133 "," 294,133 "," 294,133 "," 294,133 "," 294,133 "," 294,133 "," 294,133 "," 294,133 "," 3,529,600 "," 5,578,200 ",,
,Revenue — Contract Negotiation,90%,,,,,,,,," 165,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 2,720,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 4,380,000 "," 7,100,000 ",,
,Revenue — Closed Won,100%,,,,,,,,," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 3,857,733 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 5,786,600 "," 9,644,333 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. SPACE AVAILABILITY — PALLET POSITIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Warehouse,Total Locations (Physical Rac locations),Total Capacity       (Bin + Manual ),Occupied Capacity                  ( Physical + Floor + Manual ),Utilization %,Sellable Capacity,Committed Capacity,Blocked Locations,Virtual Locations,,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,2026 Avg,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,2027 Avg,Avg,,Notes
4A. Remaining Available Pallet Positions (= Warehouse Capacity - Cumulative Committed [Closed Won + Contract Negotiation + Shortlisted]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dammam Port,"28,694","34,755","29,782",85.7%,"4,973","23,400",-,-,,"4,673","4,673","4,673","4,673","4,673","4,673","4,673","4,673","4,673","(23,700)","(23,700)","(23,700)","(23,700)","(23,700)","(23,700)","(23,700)","(23,700)","(23,700)","(23,700)","(23,700)","(23,700)","(23,700)","(12,351)",,
2,Dammam 2nd Ind -Tad WH,"16,153","18,654","8,607",46.1%,"10,047",-,"3,619",-,,"6,957","2,957","2,957","2,957","2,957","2,957","2,957","2,957","3,457","(1,590)","(1,590)","(1,590)","(1,590)","(1,590)","(1,590)","(1,590)","(1,590)","(1,590)","(1,590)","(1,590)","(1,590)","(1,590)",429,,
3,Jubail 1,"31,172","35,542","11,836",33.3%,"23,706","13,157",146,144,,"21,506","19,376","19,376","19,376","19,376","19,376","19,376","19,376","19,642","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)",(671),,
4,Jubail 2,"8,152","29,258","10,011",34.2%,"19,247",-,-,-,,"19,247","19,247","19,247","19,247","19,247","19,247","19,247","19,247","19,247",-,-,-,-,-,-,-,-,-,-,-,-,-,"7,699",,
5,Jubail Total,"39,324","64,800","21,847",33.7%,"42,953","13,157",146,144,,"40,753","38,623","38,623","38,623","38,623","38,623","38,623","38,623","38,889","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","(14,213)","7,028",,
6,Jeddah Modon 3A,"36,212","36,840","17,127",46.5%,"19,713",300,"9,038",134,,"16,713","15,213","15,213","15,213","15,213","15,213","15,213","15,213","15,401",(166),(166),(166),(166),(166),(166),(166),(166),(166),(166),(166),(166),(166),"6,061",,
7,Jeddah Modon 3B,"12,177","14,189","13,503",95.2%,686,"2,600","3,734",-,,"(4,814)","(4,814)","(4,814)","(4,814)","(4,814)","(4,814)","(4,814)","(4,814)","(4,814)","(8,100)","(8,100)","(8,100)","(8,100)","(8,100)","(8,100)","(8,100)","(8,100)","(8,100)","(8,100)","(8,100)","(8,100)","(8,100)","(6,786)",,
8,RUH Tayba,-,"11,132","8,134",73.1%,"2,998",317,-,-,,"2,998","2,998","2,998","2,998","2,998","2,998","2,998","2,998","2,998",(317),(317),(317),(317),(317),(317),(317),(317),(317),(317),(317),(317),(317),"1,009",,
9,Subcontractor,-,-,-,-,"7,500",-,-,-,,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","(2,500)","(2,500)","(2,500)","(2,500)","(2,500)","(2,500)","(2,500)","(2,500)","(2,500)","(2,500)","(2,500)","(2,500)","(2,500)",500,,
10,Contract Logistics,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,Total Remaining Available Pallet Positions,"132,560","180,370","99,000",54.9%,"88,870","39,774","16,537",278,,"72,280","64,650","64,650","64,650","64,650","64,650","64,650","64,650","65,604","(50,586)","(50,586)","(50,586)","(50,586)","(50,586)","(50,586)","(50,586)","(50,586)","(50,586)","(50,586)","(50,586)","(50,586)","(50,586)","(4,110)",,
4B. Committed Pallet Positions (auto: cumulative based on go live date) — Closed Won + Contract Negotiation + Shortlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dammam Port,"28,694","34,755","29,782",85.7%,"4,973","23,400",-,-,,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,,
2,Dammam 2nd Ind -Tad WH,"16,153","18,654","8,607",46.1%,"10,047",-,"3,619",-,,"3,090","7,090","7,090","7,090","7,090","7,090","7,090","7,090","6,590","1,590","1,590","1,590","1,590","1,590","1,590","1,590","1,590","1,590","1,590","1,590","1,590","1,590","3,590",,
3,Jubail 1,"31,172","35,542","11,836",33.3%,"23,706","13,157",146,144,,"2,200","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,064","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","2,346",,
4,Jubail 2,"8,152","29,258","10,011",34.2%,"19,247",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
5,Jubail Total,"39,324","64,800","21,847",33.7%,"42,953","13,157",146,144,,"2,200","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,064","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","2,346",,
6,Jeddah Modon 3A,"36,212","36,840","17,127",46.5%,"19,713",300,"9,038",134,,"3,000","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,313",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,725",,
7,Jeddah Modon 3B,"12,177","14,189","13,503",95.2%,686,"2,600","3,734",-,,"5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500",,
8,RUH Tayba,-,"11,132","8,134",73.1%,"2,998",317,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
9,Subcontractor,-,-,-,-,"7,500",-,-,-,,"2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500",,
10,Contract Logistics,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,Total Committed Pallet Positions,"132,560","180,370","99,000",54.9%,"88,870","39,774","16,537",278,,"16,590","24,220","24,220","24,220","24,220","24,220","24,220","24,220","23,266","11,090","11,090","11,090","11,090","11,090","11,090","11,090","11,090","11,090","11,090","11,090","11,090","11,090","15,961",,
,Free Space Baseline  (Sellable Capacity),,,,,,,,,,"88,870","88,870","88,870","88,870","88,870","88,870","88,870","88,870","88,870","(39,496)","(39,496)","(39,496)","(39,496)","(39,496)","(39,496)","(39,496)","(39,496)","(39,496)","(39,496)","(39,496)","(39,496)","(39,496)","11,850",,
,Utilization %  (Committed / Baseline),,,,,,,,,,18.7%,27.3%,27.3%,27.3%,27.3%,27.3%,27.3%,27.3%,26.2%,(28.1%),(28.1%),(28.1%),(28.1%),(28.1%),(28.1%),(28.1%),(28.1%),(28.1%),(28.1%),(28.1%),(28.1%),(28.1%),134.7%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5. PROBABLE POTENTIAL INCOME (PPI) — Probability-weighted income from Shortlisted, Contract Negotiation & Closed Won deals (30-day payment delay applied)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Stage,,,,,,,,,,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,2026 Total,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,2027 Total,Grand Total,,Notes
1,PPI — Shortlisted,,,,,,,,,, - ," 45,375 "," 167,475 "," 220,600 "," 220,600 "," 220,600 "," 220,600 "," 220,600 "," 1,315,850 "," 220,600 "," 220,600 "," 220,600 "," 220,600 "," 220,600 "," 220,600 "," 220,600 "," 220,600 "," 220,600 "," 220,600 "," 220,600 "," 220,600 "," 2,647,200 "," 3,963,050 ",,
2,PPI — Contract Negotiation,,,,,,,,,, - ," 148,500 "," 328,500 "," 328,500 "," 328,500 "," 328,500 "," 328,500 "," 328,500 "," 2,119,500 "," 328,500 "," 328,500 "," 328,500 "," 328,500 "," 328,500 "," 328,500 "," 328,500 "," 328,500 "," 328,500 "," 328,500 "," 328,500 "," 328,500 "," 3,942,000 "," 6,061,500 ",,
3,PPI — Closed Won,,,,,,,,,, - ," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 3,375,517 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 5,786,600 "," 9,162,117 ",,
,TOTAL PPI,,,,,,,,,, - ," 676,092 "," 978,192 "," 1,031,317 "," 1,031,317 "," 1,031,317 "," 1,031,317 "," 1,031,317 "," 6,810,867 "," 1,031,317 "," 1,031,317 "," 1,031,317 "," 1,031,317 "," 1,031,317 "," 1,031,317 "," 1,031,317 "," 1,031,317 "," 1,031,317 "," 1,031,317 "," 1,031,317 "," 1,031,317 "," 12,375,800 "," 19,186,667 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue text,? Inputs (you fill these in),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black text,? Formulas (auto-calculated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green text,"? Mirrored from another section (e.g., Cost rows mirror Pipeline customers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow fill,? Key assumption / required input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grey fill,? Field not applicable in this section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light blue fill,? Year subtotal column (2026 Total / 2027 Total),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange flag,? Source Expected CY ? ACV/12 distribution (review),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:,"Monthly amounts = ACV÷12 from Go-Live month onwards, continuing through Dec-27 (assumes contracts continue/renew past 12 months)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tip:,"Probability auto-fills from Stage via VLOOKUP. To override for a specific deal, type the value directly over the formula in column E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEADER COLORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber,? KEY DRIVER inputs (Go-Live & ACV) — these drive the monthly revenue calc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,"? Editable inputs (Customer, Owner, Stage, Location, Pallets, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAGE ? PROBABILITY MAPPING (edit % values to change defaults across the whole report),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stage,Default Probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Closed Lost,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prospecting,20.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qualified,40.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proposal Sent,60.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shortlisted,75.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contract Negotiation,90.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Closed Won,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
